" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example H: a pedestrian ramp (units: kip  in)               "
" Sun Nov  1 22:45:13 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 167 , 759  , 911  
 Last Row , 1 , 164 , 756 , 906 , 1500 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
   143,    76, -7.96235e-01, -2.05333e-03,  4.40083e+00,  3.90805e-02,  6.71013e+01, -6.39879e-01,
   144,    55,  1.07247e-02,      0.0,   1.90601e+01, -1.12074e-01, -1.14685e+03,  7.29387e-02,
   144,    79,  1.03041e-01,      0.0,   1.90432e+01,  1.12074e-01,  1.14381e+03, -5.49235e-02,
   145,    79,  2.58485e-01, -2.83053e-03,  1.91575e+01, -1.01825e-02, -1.15765e+03, -5.34822e-01,
   145,    80, -1.44719e-01,  2.83053e-03,  1.91569e+01,  1.01825e-02,  1.15754e+03, -4.91502e-01,
   146,    80,  1.48341e+00, -1.91887e-03,  1.91970e+01, -2.08675e-02, -1.16144e+03, -2.25269e-01,
   146,    58, -1.36965e+00,  1.91887e-03,  1.89063e+01,  2.08675e-02,  1.10904e+03, -4.65599e-01,
   147,    59, -2.32749e+00, -7.44316e-03,  1.88811e+01,  1.83917e-02, -1.10232e+03, -1.63106e+00,
   147,    83,  2.44125e+00,  7.44316e-03,  1.92222e+01, -1.83917e-02,  1.16387e+03, -1.05615e+00,
   148,    83, -7.64839e-02, -6.56090e-03,  1.91598e+01,  2.98253e-03, -1.15809e+03, -1.24793e+00,
   148,    84,  1.90250e-01,  6.56090e-03,  1.91546e+01, -2.98253e-03,  1.15714e+03, -1.13063e+00,
   149,    84,  2.04606e+00, -4.15507e-03,  1.92010e+01,  7.99087e-03, -1.16059e+03, -6.29221e-01,
   149,    62, -1.93230e+00,  4.15507e-03,  1.89023e+01, -7.99087e-03,  1.10676e+03, -8.67290e-01,
   150,    63,  3.30116e-01, -8.99720e-03,  1.89240e+01, -1.34533e-02, -1.11196e+03, -1.97062e+00,
   150,    87, -2.16350e-01,  8.99720e-03,  1.91793e+01,  1.34533e-02,  1.15798e+03, -1.27312e+00,
   151,    87,  2.09132e+00, -6.73926e-03,  1.91608e+01, -6.12499e-04, -1.15802e+03, -1.23524e+00,
   151,    88, -1.97755e+00,  6.73926e-03,  1.91535e+01,  6.12499e-04,  1.15668e+03, -1.20996e+00,
   152,    88,  3.96724e+00, -3.75006e-03,  1.91928e+01,  3.22141e-03, -1.15876e+03, -5.60427e-01,
   152,    66, -3.85347e+00,  3.75006e-03,  1.89105e+01, -3.22141e-03,  1.10795e+03, -7.86355e-01,
   153,    67,  5.27871e-01, -9.16467e-03,  1.89379e+01,  1.04531e-02, -1.11351e+03, -2.11927e+00,
   153,    91, -4.14105e-01,  9.16467e-03,  1.91654e+01, -1.04531e-02,  1.15450e+03, -1.18467e+00,
   154,    91,  2.25806e+00, -8.74795e-03,  1.91711e+01,  1.89066e-02, -1.16034e+03, -1.51430e+00,
   154,    92, -2.14430e+00,  8.74795e-03,  1.91432e+01, -1.89066e-02,  1.15527e+03, -1.66182e+00,
   155,    92,  4.33219e+00, -3.22709e-04,  1.91944e+01, -3.46661e-02, -1.15822e+03,  8.70858e-02,
   155,    70, -4.21842e+00,  3.22709e-04,  1.89089e+01,  3.46661e-02,  1.10686e+03, -1.87648e-01,
   156,    71, -4.33098e-01, -1.10833e-02,  1.89262e+01, -2.40389e-02, -1.11341e+03, -2.54867e+00,
   156,    95,  5.46864e-01,  1.10833e-02,  1.91771e+01,  2.40389e-02,  1.15867e+03, -1.44628e+00,
   157,    95,  2.51827e+00, -1.20471e-02,  1.91404e+01, -2.31696e-02, -1.15343e+03, -1.84066e+00,
   157,    96, -2.40450e+00,  1.20471e-02,  1.91740e+01,  2.31696e-02,  1.15950e+03, -2.53835e+00,
   158,    96,  4.54723e+00,  8.34162e-03,  1.91408e+01,  4.27964e-02, -1.15066e+03,  1.84188e+00,
   158,    74, -4.43347e+00, -8.34162e-03,  1.89625e+01, -4.27964e-02,  1.11864e+03,  1.21281e+00,
   159,    75,  1.23776e+01, -1.14273e-02,  1.86859e+01, -8.69262e-02, -1.05621e+03, -2.31110e+00,
   159,    99, -1.22638e+01,  1.14273e-02,  1.94174e+01,  8.69262e-02,  1.18766e+03, -1.70270e+00,
   160,    99,  1.37623e+01,  4.30336e-03,  1.91168e+01, -8.72138e-02, -1.15036e+03,  2.19634e-01,
   160,   100, -1.36485e+01, -4.30336e-03,  1.91976e+01,  8.72138e-02,  1.16492e+03,  1.46005e+00,
   161,   100,  1.57514e+01, -2.98207e-02,  1.93682e+01,  1.73142e-01, -1.17527e+03, -5.53114e+00,
   161,    78, -1.56376e+01,  2.98207e-02,  1.87351e+01, -1.73142e-01,  1.06165e+03, -5.42905e+00,
   162,   101,  2.38568e-01, -5.55605e+00, -1.15430e+00,  3.04447e-02,  1.74754e+01, -8.41122e+01,
   162,   107,  2.38568e-01,  5.55605e+00,  1.15430e+00, -3.04447e-02,  5.17823e+01, -2.49251e+02,
   163,   107,  4.77137e-01, -3.93133e+00, -1.13951e+00, -1.70512e-02,  5.99647e+01, -2.30267e+02,
   163,   111,  4.77137e-01,  3.93133e+00,  1.13951e+00,  1.70512e-02,  7.67770e+01, -2.41492e+02,
   164,   111,  4.77137e-01, -4.05834e+00, -1.67957e+00, -5.52545e-04,  9.70667e+01, -2.46264e+02,
   164,   115,  4.77137e-01,  4.05834e+00,  1.67957e+00,  5.52545e-04,  1.04481e+02, -2.40737e+02,
   165,   115,  4.77137e-01, -4.18344e+00, -2.15416e+00,  9.25406e-03,  1.22312e+02, -2.45437e+02,
   165,   119,  4.77137e-01,  4.18344e+00,  2.15416e+00, -9.25406e-03,  1.36187e+02, -2.56576e+02,
   166,   119,  4.77137e-01, -3.46272e+00, -1.89943e+00, -3.24393e-02,  1.26617e+02, -2.29499e+02,
   166,   123,  4.77137e-01,  3.46272e+00,  1.89943e+00,  3.24393e-02,  1.01314e+02, -1.86027e+02,
   167,   123,  4.77137e-01, -6.53683e+00, -4.07016e+00,  1.02055e-01,  1.82868e+02, -3.01520e+02,
   167,   127,  4.77137e-01,  6.53683e+00,  4.07016e+00, -1.02055e-01,  3.05551e+02, -4.82900e+02,
   168,   102,  2.04171e+02, -5.35662e+00, -9.77494e+00,  5.59427e-04,  1.28701e+02, -7.36083e+01,
   168,   108, -2.03694e+02,  5.35662e+00,  9.77494e+00, -5.59427e-04,  4.57493e+02, -2.47671e+02,
   169,   108,  1.65533e+02, -4.12928e+00, -7.79094e+00, -8.90639e-03,  4.57903e+02, -2.44954e+02,
   169,   112, -1.64579e+02,  4.12928e+00,  7.79094e+00,  8.90639e-03,  4.77038e+02, -2.50691e+02,
   170,   112,  1.27461e+02, -4.19324e+00, -8.41536e+00,  4.05006e-03,  4.99841e+02, -2.50350e+02,
   170,   116, -1.26507e+02,  4.19324e+00,  8.41536e+00, -4.05006e-03,  5.09992e+02, -2.52835e+02,
   171,   116,  9.02024e+01, -4.29195e+00, -8.57820e+00,  7.16636e-03,  5.17961e+02, -2.55132e+02,
   171,   120, -8.92481e+01,  4.29195e+00,  8.57820e+00, -7.16636e-03,  5.11465e+02, -2.59860e+02,
   172,   120,  5.34836e+01, -3.95414e+00, -9.93664e+00,  4.80681e-03,  5.63365e+02, -2.52773e+02,
   172,   124, -5.25293e+01,  3.95414e+00,  9.93664e+00, -4.80681e-03,  6.29068e+02, -2.21788e+02,
   173,   124,  1.62821e+01, -6.59404e+00, -4.53034e+00,  7.24282e-02,  4.21500e+02, -3.00324e+02,
   173,   128, -1.53278e+01,  6.59404e+00,  4.53034e+00, -7.24282e-02,  1.22130e+02, -4.90881e+02,
   174,   105,  1.96045e+02, -2.65556e+00,  5.42752e+00,  3.34677e-03, -2.34771e+02, -1.01952e+02,
   174,   109, -1.95091e+02,  2.65556e+00, -5.42752e+00, -3.34677e-03, -4.18282e+02, -2.16815e+02,
   175,   109,  1.56460e+02, -4.40873e+00,  7.97024e+00,  2.17995e-02, -4.84645e+02, -2.74757e+02,
   175,   113, -1.55506e+02,  4.40873e+00, -7.97024e+00, -2.17995e-02, -4.71792e+02, -2.53982e+02,
   176,   113,  1.17379e+02, -4.21314e+00,  7.97246e+00,  5.37734e-03, -4.71955e+02, -2.48840e+02,
   176,   117, -1.16425e+02,  4.21314e+00, -7.97246e+00, -5.37734e-03, -4.84747e+02, -2.56581e+02,
   177,   117,  7.86556e+01, -3.91285e+00,  7.95866e+00,  2.33370e-03, -4.80355e+02, -2.50683e+02,
   177,   121, -7.77013e+01,  3.91285e+00, -7.95866e+00, -2.33370e-03, -4.74595e+02, -2.18881e+02,
   178,   121,  3.98684e+01, -6.53738e+00,  1.04167e+01, -2.15915e-02, -4.99818e+02, -2.97788e+02,
   178,   125, -3.89141e+01,  6.53738e+00, -1.04167e+01,  2.15915e-02, -7.49342e+02, -4.86473e+02,
   179,   106,  9.62805e+01, -2.59810e+00,  1.34456e+00,  2.11376e-02, -7.99777e+01, -9.72716e+01,
   179,   110, -9.53262e+01,  2.59810e+00, -1.34456e+00, -2.11376e-02, -8.22164e+01, -2.14484e+02,
   180,   110,  7.72816e+01, -4.32582e+00,  7.63175e-01,  2.53388e-02, -3.18698e+01, -2.70701e+02,
   180,   114, -7.63274e+01,  4.32582e+00, -7.63175e-01, -2.53388e-02, -5.97321e+01, -2.48179e+02,
   181,   114,  5.77212e+01, -4.11254e+00,  1.26337e+00,  1.01406e-02, -7.79376e+01, -2.43996e+02,
   181,   118, -5.67669e+01,  4.11254e+00, -1.26337e+00, -1.01406e-02, -7.36721e+01, -2.49411e+02,
   182,   118,  3.77374e+01, -3.80547e+00,  1.87449e+00, -3.48044e-03, -9.14541e+01, -2.44324e+02,
   182,   122, -3.67831e+01,  3.80547e+00, -1.87449e+00,  3.48044e-03, -1.33429e+02, -2.12342e+02,
   183,   122,  1.76756e+01, -6.32818e+00,  7.42044e-01,  2.58978e-03, -2.51334e+01, -2.88545e+02,
   183,   126, -1.67214e+01,  6.32818e+00, -7.42044e-01, -2.58978e-03, -6.35446e+01, -4.70744e+02,
   184,   103,  2.60621e+02, -4.24464e+00,  1.19393e+00, -5.67265e-02, -6.25684e+01, -9.53374e+01,
   184,   130, -2.60303e+02,  4.24464e+00, -1.19393e+00,  5.67265e-02,  1.43271e+01, -7.50572e+01,
   185,   130,  2.60303e+02, -4.24462e+00,  1.19393e+00, -5.67265e-02, -1.43271e+01,  7.50573e+01,
   185,   131, -2.59985e+02,  4.24462e+00, -1.19393e+00,  5.67265e-02, -3.41643e+01, -2.44138e+02,
   186,   131,  2.09009e+02, -4.35627e+00, -2.21305e-01,  1.44111e-02,  2.28388e+01, -2.61973e+02,
   186,   134, -2.08373e+02,  4.35627e+00,  2.21305e-01, -1.44111e-02, -5.43372e+00, -8.68761e+01,
   187,   134,  2.08373e+02, -4.35625e+00, -2.21311e-01,  1.44111e-02,  5.43363e+00,  8.68767e+01,
   187,   135, -2.08054e+02,  4.35625e+00,  2.21311e-01, -1.44111e-02,  3.44512e+00, -2.60701e+02,
   188,   135,  1.56850e+02, -4.41207e+00,  2.87942e-02,  4.55682e-03, -2.49511e+00, -2.58896e+02,
   188,   138, -1.56214e+02,  4.41207e+00, -2.87942e-02, -4.55682e-03,  1.70511e-01, -9.42773e+01,
   189,   138,  1.56214e+02, -4.41205e+00,  2.87941e-02,  4.55681e-03, -1.70502e-01,  9.42778e+01,
   189,   139, -1.55896e+02,  4.41205e+00, -2.87941e-02, -4.55681e-03, -1.00058e+00, -2.70308e+02,
   190,   139,  1.04630e+02, -4.04090e+00,  8.05686e-02,  1.75846e-03,  1.13807e+00, -2.58300e+02,
   190,   142, -1.03994e+02,  4.04090e+00, -8.05686e-02, -1.75846e-03, -7.56161e+00, -6.49794e+01,
   191,   142,  1.03994e+02, -4.04089e+00,  8.05664e-02,  1.75846e-03,  7.56158e+00,  6.49800e+01,
   191,   143, -1.03675e+02,  4.04089e+00, -8.05664e-02, -1.75846e-03, -1.07053e+01, -2.26504e+02,
   192,   143,  5.23348e+01, -6.95205e+00, -2.48032e-01, -3.16382e-02,  2.13953e+01, -3.13777e+02,
   192,   146, -5.16986e+01,  6.95205e+00,  2.48032e-01,  3.16382e-02, -1.32866e+00, -2.42643e+02,
   193,   146,  5.16986e+01, -6.95197e+00, -2.48025e-01, -3.16381e-02,  1.32859e+00,  2.42643e+02,
   193,   147, -5.13805e+01,  6.95197e+00,  2.48025e-01,  3.16381e-02,  8.72776e+00, -5.20071e+02,
   194,   104,  2.60796e+02, -3.52975e+00,  9.95471e-01, -4.25044e-02, -6.54526e+01, -1.13484e+02,
   194,   129, -2.60637e+02,  3.52975e+00, -9.95471e-01,  4.25044e-02,  4.53824e+01,  4.25789e+01,
   195,   129,  2.60637e+02, -3.52975e+00,  9.95496e-01, -4.25044e-02, -4.53825e+01, -4.25783e+01,
   195,   132, -2.60000e+02,  3.52975e+00, -9.95496e-01,  4.25044e-02, -3.59968e+01, -2.39796e+02,
   196,   132,  2.08968e+02, -4.39498e+00, -3.27696e-01,  1.47950e-02,  3.22337e+01, -2.66740e+02,
   196,   133, -2.08650e+02,  4.39498e+00,  3.27696e-01, -1.47950e-02, -1.94344e+01,  9.14898e+01,
   197,   133,  2.08650e+02, -4.39500e+00, -3.27703e-01,  1.47950e-02,  1.94344e+01, -9.14892e+01,
   197,   136, -2.08013e+02,  4.39500e+00,  3.27703e-01, -1.47950e-02,  6.79926e+00, -2.60387e+02,
   198,   136,  1.56829e+02, -4.40252e+00, -2.94117e-02, -1.60834e-03, -8.96578e-01, -2.59932e+02,
   198,   137, -1.56511e+02,  4.40252e+00,  2.94117e-02,  1.60834e-03,  2.08211e+00,  8.41777e+01,
   199,   137,  1.56511e+02, -4.40254e+00, -2.94099e-02, -1.60834e-03, -2.08213e+00, -8.41771e+01,
   199,   140, -1.55875e+02,  4.40254e+00,  2.94099e-02,  1.60834e-03,  4.37521e+00, -2.68131e+02,
   200,   140,  1.04611e+02, -4.06311e+00,  2.85464e-01,  2.20221e-03, -1.83279e+00, -2.61061e+02,
   200,   141, -1.04293e+02,  4.06311e+00, -2.85464e-01, -2.20221e-03, -9.63222e+00,  9.88441e+01,
   201,   141,  1.04293e+02, -4.06314e+00,  2.85455e-01,  2.20221e-03,  9.63236e+00, -9.88437e+01,
   201,   144, -1.03657e+02,  4.06314e+00, -2.85455e-01, -2.20221e-03, -3.22797e+01, -2.26529e+02,
   202,   144,  5.24247e+01, -6.92518e+00, -7.80721e-01, -8.79930e-02,  4.82229e+01, -3.13609e+02,
   202,   145, -5.21066e+01,  6.92518e+00,  7.80721e-01,  8.79930e-02, -1.67796e+01,  3.65108e+01,
   203,   145,  5.21066e+01, -6.92515e+00, -7.80743e-01, -8.79929e-02,  1.67795e+01, -3.65093e+01,
   203,   148, -5.14704e+01,  6.92515e+00,  7.80743e-01,  8.79929e-02,  4.61707e+01, -5.17099e+02,
   204,   107, -7.19063e+00,  1.27990e-02,  5.66101e+00, -2.28551e-02, -1.11753e+02,  3.82501e-01,
   204,   108,  7.19063e+00, -1.27990e-02,  7.02158e+00,  2.28551e-02,  1.93495e+02,  1.14922e+00,
   205,   111, -6.38204e+00,  7.18590e-04,  6.68955e+00,  3.67730e-03, -1.73824e+02, -1.30567e-01,
   205,   112,  6.38204e+00, -7.18590e-04,  5.99305e+00, -3.67730e-03,  1.32285e+02,  2.18194e-01,
   206,   115, -6.75023e+00, -1.40987e-03,  7.56472e+00, -3.54784e-02, -2.26755e+02, -1.40300e-01,
   206,   116,  6.75023e+00,  1.40987e-03,  5.11788e+00,  3.54784e-02,  8.03359e+01, -2.76686e-02,
   207,   119, -4.53915e+00,  4.70392e-03,  8.22369e+00, -4.31223e-03, -2.62756e+02,  1.71725e-01,
   207,   120,  4.53915e+00, -4.70392e-03,  4.45891e+00,  4.31223e-03,  3.71922e+01,  3.91401e-01,
   208,   123, -1.23563e+00, -2.76409e-02,  8.31272e+00, -6.48085e-02, -2.84116e+02, -8.12935e-01,
   208,   124,  1.23563e+00,  2.76409e-02,  4.36987e+00,  6.48085e-02,  4.76423e+01, -2.50284e+00,
   209,   127, -4.54207e+00,  3.59732e-02,  9.90000e+00, -1.10311e-01, -3.05487e+02,  2.23457e+00,
   209,   128,  4.54207e+00, -3.59732e-02,  2.78260e+00,  1.10311e-01, -1.21187e+02,  2.06346e+00,
   210,   109,  5.81059e-01,  7.48625e-03,  7.08633e+00, -8.65475e-03, -2.03474e+02,  9.05290e-01,
   210,   110, -5.81059e-01, -7.48625e-03,  5.59626e+00,  8.65475e-03,  1.14078e+02, -6.54415e-03,
   211,   113, -4.94533e-01, -2.51426e-03,  6.57444e+00, -5.10255e-04, -1.65634e+02,  3.95464e-01,
   211,   114,  4.94533e-01,  2.51426e-03,  6.10815e+00,  5.10255e-04,  1.37643e+02, -6.97939e-01,
   212,   117, -6.04977e-01, -1.11781e-03,  6.16636e+00,  1.09813e-02, -1.44146e+02,  6.01151e-01,
   212,   118,  6.04977e-01,  1.11781e-03,  6.51623e+00, -1.09813e-02,  1.65117e+02, -7.36446e-01,
   213,   121,  1.13513e+00,  2.47539e-03,  6.13741e+00,  1.15393e-02, -1.34020e+02,  6.69279e-01,
   213,   122, -1.13513e+00, -2.47539e-03,  6.54519e+00, -1.15393e-02,  1.58534e+02, -3.70013e-01,
   214,   125,  7.47431e-01,  8.68182e-03,  8.33597e+00,  4.42271e-02, -3.02863e+02,  1.66087e+00,
   214,   126, -7.47431e-01, -8.68182e-03,  4.34662e+00, -4.42271e-02,  6.35350e+01, -6.17819e-01,
   215,   108, -4.16492e+00, -5.13412e-03,  1.88977e+01, -2.08090e-02, -1.10856e+03, -1.21078e+00,
   215,   131,  4.27868e+00,  5.13412e-03,  1.92056e+01,  2.08090e-02,  1.16413e+03, -6.39454e-01,
   216,   131, -3.57812e+00, -3.79724e-03,  1.91292e+01, -1.03579e-02, -1.15283e+03, -6.44527e-01,
   216,   132,  3.69188e+00,  3.79724e-03,  1.91852e+01,  1.03579e-02,  1.16300e+03, -7.26602e-01,
   217,   132, -2.89795e+00, -5.93236e-03,  1.91995e+01, -1.53329e-02, -1.15926e+03, -7.07386e-01,
   217,   109,  3.01171e+00,  5.93236e-03,  1.89038e+01,  1.53329e-02,  1.10596e+03, -1.43349e+00,
   218,   112, -5.97036e+00, -3.64073e-03,  1.89117e+01, -9.04248e-03, -1.10878e+03, -7.68391e-01,
   218,   135,  6.08412e+00,  3.64073e-03,  1.91915e+01,  9.04248e-03,  1.15932e+03, -5.50111e-01,
   219,   135, -3.71726e+00, -5.54125e-03,  1.91723e+01, -2.06995e-03, -1.16028e+03, -9.75483e-01,
   219,   136,  3.83102e+00,  5.54125e-03,  1.91421e+01,  2.06995e-03,  1.15484e+03, -1.03120e+00,
   220,   136, -1.42258e+00, -8.17901e-03,  1.91951e+01,  8.28579e-03, -1.16076e+03, -1.10021e+00,
   220,   113,  1.53634e+00,  8.17901e-03,  1.89081e+01, -8.28579e-03,  1.10901e+03, -1.85076e+00,
   221,   116, -5.87687e+00, -2.33471e-03,  1.89097e+01, -2.36262e-02, -1.10789e+03, -5.03854e-01,
   221,   139,  5.99063e+00,  2.33471e-03,  1.91936e+01,  2.36262e-02,  1.15919e+03, -3.52750e-01,
   222,   139, -3.82369e+00, -7.05248e-03,  1.91658e+01,  3.07277e-03, -1.15932e+03, -1.31220e+00,
   222,   140,  3.93746e+00,  7.05248e-03,  1.91486e+01, -3.07277e-03,  1.15623e+03, -1.24220e+00,
   223,   140, -1.51600e+00, -1.00164e-02,  1.91901e+01,  9.14851e-03, -1.15879e+03, -1.37322e+00,
   223,   117,  1.62976e+00,  1.00164e-02,  1.89132e+01, -9.14851e-03,  1.10885e+03, -2.24003e+00,
   224,   120, -4.85445e+00, -1.02760e-03,  1.89319e+01,  3.58052e-02, -1.11159e+03, -4.33510e-01,
   224,   143,  4.96822e+00,  1.02760e-03,  1.91714e+01, -3.58052e-02,  1.15489e+03,  4.81602e-02,
   225,   143, -3.17789e+00, -6.52694e-03,  1.92061e+01,  7.51454e-03, -1.16556e+03, -1.22027e+00,
   225,   144,  3.29166e+00,  6.52694e-03,  1.91082e+01, -7.51454e-03,  1.14783e+03, -1.14026e+00,
   226,   144, -2.25187e+00, -7.37719e-03,  1.92059e+01,  4.63122e-03, -1.16376e+03, -8.87145e-01,
   226,   121,  2.36564e+00,  7.37719e-03,  1.88974e+01, -4.63122e-03,  1.10811e+03, -1.77505e+00,
   227,   124,  5.22718e+00,  1.20221e-02,  1.88794e+01, -3.50253e-01, -1.09788e+03,  2.41345e+00,
   227,   147, -5.11341e+00, -1.20221e-02,  1.92239e+01,  3.50253e-01,  1.15985e+03,  1.98293e+00,
   228,   147,  7.48834e+00, -1.47293e-02,  1.92191e+01,  1.13054e-02, -1.16856e+03, -3.20389e+00,
   228,   148, -7.37457e+00,  1.47293e-02,  1.90953e+01, -1.13054e-02,  1.14607e+03, -2.16199e+00,
   229,   148,  1.02707e+01, -1.36382e-02,  1.94428e+01,  2.97640e-02, -1.19226e+03, -1.50827e+00,
   229,   125, -1.01569e+01,  1.36382e-02,  1.86605e+01, -2.97640e-02,  1.05148e+03, -3.40256e+00,
   230,     7,      0.0,    2.42446e-03,  2.46404e+01,  7.68875e-03, -9.80942e+02,  2.40540e-01,
   230,    57,      0.0,   -2.42446e-03,  2.44531e+01, -7.68875e-03,  9.58464e+02,  3.41331e-01,
   231,     8,  1.22429e+00,  4.43889e-03,  1.25984e+01, -3.37012e-01, -5.04279e+02,  3.92453e-01,
   231,    58, -1.22429e+00, -4.43889e-03,  1.24952e+01,  3.37012e-01,  4.91910e+02,  6.74088e-01,
   232,     9, -1.75172e+00,  1.75589e-02,  1.25818e+01,  3.88947e-01, -5.01209e+02,  2.03483e+00,
   232,    59,  1.75172e+00, -1.75589e-02,  1.25117e+01, -3.88947e-01,  4.92747e+02,  2.16788e+00,
   233,    10, -1.71929e+00,  1.32937e-02,  1.26231e+01, -4.01015e-02, -5.06201e+02,  1.61856e+00,
   233,    60,  1.71929e+00, -1.32937e-02,  1.24705e+01,  4.01015e-02,  4.87875e+02,  1.56095e+00,
   234,    11,      0.0,    9.79487e-04,  1.26434e+01, -1.52724e-02, -5.11501e+02,  1.47129e-01,
   234,    61,      0.0,   -9.79487e-04,  1.24501e+01,  1.52724e-02,  4.88300e+02,  8.79477e-02,
   235,    12, -5.93348e-02,  4.45167e-03,  1.25343e+01, -3.76129e-01, -4.96374e+02,  4.54705e-01,
   235,    62,  5.93348e-02, -4.45167e-03,  1.25592e+01,  3.76129e-01,  4.99357e+02,  6.13627e-01,
   236,    13,  1.90979e-01,  1.54904e-02,  1.24909e+01,  3.57078e-01, -4.91241e+02,  1.79042e+00,
   236,    63, -1.90979e-01, -1.54904e-02,  1.26026e+01, -3.57078e-01,  5.04663e+02,  1.92867e+00,
   237,    14,  2.26868e-01,  9.75721e-03,  1.25714e+01,  1.40726e-02, -5.00994e+02,  1.16098e+00,
   237,    64, -2.26868e-01, -9.75721e-03,  1.25221e+01, -1.40726e-02,  4.95086e+02,  1.18240e+00,
   238,    15,      0.0,    8.19200e-04,  1.26429e+01, -2.80405e-02, -5.08856e+02,  1.36965e-01,
   238,    65,      0.0,   -8.19200e-04,  1.24506e+01,  2.80405e-02,  4.85789e+02,  5.96434e-02,
   239,    16, -9.15385e-02,  3.71097e-03,  1.24817e+01, -3.91242e-01, -4.89982e+02,  3.50907e-01,
   239,    66,  9.15385e-02, -3.71097e-03,  1.26118e+01,  3.91242e-01,  5.05587e+02,  5.39612e-01,
   240,    17,  2.97993e-01,  1.26377e-02,  1.24501e+01,  3.86642e-01, -4.86027e+02,  1.44813e+00,
   240,    67, -2.97993e-01, -1.26377e-02,  1.26434e+01, -3.86642e-01,  5.09242e+02,  1.58695e+00,
   241,    18,  3.16473e-01,  6.32131e-03,  1.25613e+01,  9.66442e-03, -4.99497e+02,  7.46101e-01,
   241,    68, -3.16473e-01, -6.32131e-03,  1.25322e+01, -9.66442e-03,  4.96007e+02,  7.73197e-01,
   242,    19,      0.0,    6.41665e-04,  1.26485e+01, -4.76065e-02, -5.11162e+02,  9.40366e-02,
   242,    69,      0.0,   -6.41665e-04,  1.24450e+01,  4.76065e-02,  4.86752e+02,  5.99629e-02,
   243,    20,  3.42678e-01,  1.31786e-03,  1.24484e+01, -3.80672e-01, -4.85798e+02,  4.53419e-02,
   243,    70, -3.42678e-01, -1.31786e-03,  1.26451e+01,  3.80672e-01,  5.09413e+02,  2.71342e-01,
   244,    21, -2.61894e+00,  1.70578e-02,  1.23850e+01,  3.22888e-01, -4.79639e+02,  1.98626e+00,
   244,    71,  2.61894e+00, -1.70578e-02,  1.27085e+01, -3.22888e-01,  5.18293e+02,  2.08730e+00,
   245,    22, -2.51725e+00,  8.78478e-03,  1.25181e+01,  3.06954e-02, -4.95651e+02,  1.04004e+00,
   245,    72,  2.51725e+00, -8.78478e-03,  1.25754e+01, -3.06954e-02,  5.02459e+02,  1.04893e+00,
   246,    23,      0.0,   -4.24325e-03,  1.26192e+01, -1.71855e-02, -5.02741e+02, -3.00273e-01,
   246,    73,      0.0,    4.24325e-03,  1.24743e+01,  1.71855e-02,  4.85347e+02, -7.18107e-01,
   247,    24, -2.58589e+00, -1.01951e-02,  1.23937e+01, -4.89668e-01, -4.80634e+02, -1.20156e+00,
   247,    74,  2.58589e+00,  1.01951e-02,  1.26998e+01,  4.89668e-01,  5.17202e+02, -1.24699e+00,
   248,    25,  6.53050e+00,  1.05002e-02,  1.25755e+01,  7.20190e-01, -4.94134e+02,  1.13992e+00,
   248,    75, -6.53050e+00, -1.05002e-02,  1.25181e+01, -7.20190e-01,  4.87694e+02,  1.42178e+00,
   249,    26,  6.33351e+00,  5.47099e-03,  1.27097e+01,  1.21497e-02, -5.10741e+02,  7.15476e-01,
   249,    76, -6.33351e+00, -5.47099e-03,  1.23838e+01, -1.21497e-02,  4.71800e+02,  6.37574e-01,
   250,    27,      0.0,    2.94810e-03,  7.61516e-01, -1.59450e-01, -6.07112e+01,  1.79392e-02,
   250,    77,      0.0,   -2.94810e-03,  3.31994e-01,  1.59450e-01,  9.16854e+00,  6.89604e-01,
   251,    28,  6.55497e+00,  2.30865e-02,  1.25892e+01,  1.85894e-04, -4.95770e+02,  2.29004e+00,
   251,    78, -6.55497e+00, -2.30865e-02,  1.25043e+01, -1.85894e-04,  4.86008e+02,  3.26380e+00,
   252,     7,      0.0,   -1.79310e-03,  1.27386e+01, -5.83723e-03, -5.25535e+02, -9.53391e-02,
   252,   107,      0.0,    1.79310e-03,  1.23549e+01,  5.83723e-03,  4.79494e+02, -3.35005e-01,
   253,     8,  1.20943e+00,  1.74746e-04,  1.25920e+01,  3.22700e-01, -5.03533e+02, -2.78326e-02,
   253,   108, -1.20943e+00, -1.74746e-04,  1.25015e+01, -3.22700e-01,  4.92693e+02,  7.02803e-02,
   254,     9, -1.73976e+00,  3.21089e-03,  1.25909e+01, -4.34890e-01, -5.02282e+02,  2.60355e-01,
   254,   109,  1.73976e+00, -3.21089e-03,  1.25026e+01,  4.34890e-01,  4.91654e+02,  5.06660e-01,
   255,    10, -1.73522e+00, -2.93253e-04,  1.26452e+01, -7.67540e-03, -5.08838e+02, -7.63078e-02,
