" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example H: a pedestrian ramp (units: kip  in)               "
" Sun Nov  1 22:45:13 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 167 , 759  , 911  
 Last Row , 1 , 164 , 756 , 906 , 1500 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
   122,  7.70133e-03, -4.47143e-03, -3.93342e-02,  1.72734e-04, -1.71333e-04, -1.96620e-05,
   123,    0.0,        0.0,        0.0,      1.40925e-04,  7.54743e-05,  9.46034e-06,
   124,  2.54375e-04,  9.10387e-04, -7.90385e-02,  1.74403e-04,  6.39222e-04, -2.73693e-06,
   125, -1.35042e-02, -8.20307e-03, -8.62960e-02,  6.55019e-04, -1.08220e-03, -4.16866e-06,
   126, -1.36581e-02, -9.84990e-03, -4.18668e-02,  6.32173e-04, -2.68203e-04, -2.06203e-05,
   127,    0.0,        0.0,        0.0,      5.97901e-04,  3.84606e-04, -2.83029e-05,
   128,  9.35063e-04, -4.12753e-03, -8.13659e-02,  6.54884e-04, -1.15717e-04, -2.95374e-05,
   129,  6.16632e-04,  1.18901e-03, -6.39873e-03, -6.55558e-05,  4.65630e-05,  2.62130e-06,
   130,  1.85922e-03,  2.33885e-03, -1.27850e-02, -1.70565e-05,  6.46801e-05,  6.99680e-06,
   131,  4.68126e-03, -3.65688e-04, -2.55544e-02,  2.51400e-04,  4.79943e-05,  1.39936e-05,
   132,  7.29921e-03,  1.16603e-03, -3.19546e-02,  2.67639e-04,  6.24218e-05,  1.31065e-05,
   133,  8.77706e-03, -1.46096e-03, -4.22041e-02, -3.35598e-05,  1.89741e-05,  1.12817e-05,
   134,  6.11537e-03,  1.29750e-03, -4.60419e-02, -4.40785e-05,  2.78109e-07,  1.04386e-05,
   135,  5.98895e-03, -7.46304e-04, -5.62622e-02,  2.48163e-04, -1.39402e-06,  8.66106e-06,
   136,  8.69324e-03, -1.34349e-04, -6.26564e-02,  2.51455e-04, -2.35033e-06,  7.63194e-06,
   137,  8.63541e-03, -2.34728e-03, -7.03466e-02, -3.77866e-05,  1.53709e-07,  7.83032e-06,
   138,  6.12351e-03,  5.77074e-04, -7.16292e-02, -2.93074e-05,  3.09952e-06,  7.53696e-06,
   139,  6.24727e-03, -2.31599e-03, -7.92892e-02,  2.77145e-04,  2.40172e-06,  6.97492e-06,
   140,  9.01768e-03, -1.67380e-03, -8.56803e-02,  2.72273e-04,  1.10390e-05,  8.22707e-06,
   141,  9.46256e-03, -4.61441e-03, -9.08074e-02, -3.01578e-05,  4.48434e-06,  7.95545e-06,
   142,  6.03675e-03, -2.24602e-03, -8.95297e-02, -4.83217e-05, -1.22465e-05,  6.54113e-06,
   143,  5.27671e-03, -3.31829e-03, -9.46265e-02,  1.96613e-04, -2.75981e-05,  6.32424e-06,
   144,  7.64470e-03, -1.51776e-03, -1.01015e-01,  1.84807e-04, -6.60853e-05,  7.41220e-06,
   145,  3.54041e-03,  2.20734e-04, -1.03580e-01, -1.09314e-04, -1.20698e-04,  1.82655e-05,
   146,  9.67749e-04,  1.60864e-03, -9.97330e-02,  7.69960e-05, -6.58151e-05,  1.41289e-05,
   147, -1.65842e-03, -1.10334e-02, -1.02263e-01,  7.17719e-04, -5.95987e-05,  1.80312e-05,
   148, -5.93401e-03, -7.56902e-03, -1.08664e-01,  6.98835e-04, -7.12684e-05,  3.99720e-05,
"F R A M E   E L E M E N T   E N D   F O R C E S  (local)"
Elmnt , Node  ,    Nx     ,    Vy   ,     Vz   ,     Txx   ,    Myy  ,     Mzz
     1,     1,  2.38568e-01, -6.56458e+00, -9.54705e-01, -7.51750e-03,  1.44537e+01, -9.93802e+01,
     1,     7,  2.38568e-01,  6.56458e+00,  9.54705e-01,  7.51750e-03,  4.28286e+01, -2.94495e+02,
