" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example C: a tetrahedral frame - static and dynamic analysis (in  kip)               "
" Sun Nov  1 22:45:12 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 37 , 135  , 157  
 Last Row , 1 , 34 , 132 , 152 , 252 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,      8.47584e-05, -2.15617e-03, -3.32889e-03,
     2,  1.69815e-01, -9.03586e-02, -4.80406e-02, -1.39893e-03,  6.05982e-04, -4.78752e-03,
     3,    0.0,        0.0,        0.0,     -8.93388e-04, -6.74000e-04, -2.60327e-03,
     4, -6.55601e-02, -5.20460e-01,  2.01810e-01, -3.17420e-03, -7.93004e-04, -2.71845e-03,
     5,  9.65873e-02, -5.55052e-01, -1.12018e-01, -3.41665e-03,  1.12460e-04, -2.26227e-03,
     6, -2.83419e-03, -2.26473e-01,  5.42664e-02, -2.67660e-03, -3.06864e-04, -2.04851e-03,
     7, -2.56409e-02, -6.67433e-01,  2.30696e-01, -3.06381e-03, -2.25121e-04, -6.34711e-04,
     8,  2.28610e-02, -6.66269e-01, -7.27481e-02, -3.10507e-03, -1.88365e-04, -6.09571e-04,
    40,    13,  2.44134e+01, -6.84374e+00,  8.57594e-01, -1.01954e+01, -3.72326e+01, -3.17748e+02,
    40,    16, -2.44134e+01,  6.84374e+00, -5.74363e-01,  1.01954e+01, -3.85911e+01, -3.76496e+02,
    41,    14,  1.25852e+01,  5.58930e+01,  3.94453e-01, -8.89748e+00, -1.36562e+00,  8.39534e+02,
    41,    17, -1.25852e+01,  5.41070e+01, -1.11222e-01,  8.89748e+00, -2.39969e+01, -7.55108e+02,
    42,    15, -3.49929e+01,  3.18968e-01,  4.77383e-01, -7.19976e+00, -1.84595e+01,  5.64578e+00,
    42,    18,  3.49929e+01, -3.18968e-01,  8.90789e-02,  7.19976e+00,  2.04497e+00,  3.42627e+01,
    43,    15,  2.91046e+01, -1.09802e+00,  5.53292e-01, -2.05943e+00, -6.20288e+01, -1.28797e+02,
    43,    16, -2.93879e+01,  1.09802e+00, -2.36629e-01,  2.05943e+00, -9.75721e-01, -4.19738e+01,
    44,    14,  2.97246e+02,  2.78233e-01,  1.89339e-01, -1.15367e+00, -3.77958e+01, -3.44564e+01,
    44,    16, -2.97246e+02, -2.78233e-01,  2.11210e-01,  1.15367e+00,  4.03109e+01, -5.37106e+01,
    45,    14, -2.76115e+00, -5.82814e-01,  2.34528e-01, -9.76742e-01, -2.41176e+01, -8.34879e+00,
    45,    18,  3.32761e+00,  5.82814e-01,  3.98796e-01,  9.76742e-01,  3.64265e+01, -7.76947e+01,
    46,    16,  5.44586e+01,  1.18857e+01,  1.89980e-01,  9.77764e+00, -7.35128e+00,  4.55302e+02,
    46,    17, -5.44586e+01, -1.18857e+01,  9.32509e-02, -9.77764e+00,  1.99684e+00,  7.22095e+02,
    47,    17, -1.41133e-01,  6.99203e-01,  3.22427e-01,  1.44256e+01, -6.89936e+00,  4.49690e+01,
