" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2014, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example G: a building with a set-back (units: in  kip)               "
" Sat May 17 15:28:09 2014
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 17 , 34 , 84  
 Last Row , 1 , 31 , 81 , 98  

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     2,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     3,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     4,  6.66558e-04,  5.08492e-01, -2.25624e-02, -1.05557e-02,  1.34416e-03,  1.66456e-05,
    24,    15, -8.30305e+01, -7.44542e-01,  3.25245e+02, -4.00220e+02, -1.22785e+04, -6.43666e+01,
    24,    13,  8.30305e+01,  7.44542e-01, -3.35906e+01,  4.00220e+02, -9.63741e+03, -2.57751e+01,
"R E A C T I O N S  (global)"
 Node   ,    Fx      ,   Fy   ,      Fz   ,     Mxx    ,    Myy    ,    Mzz
     1,  3.33684e+01, -4.89930e+01,  8.19021e+02,  5.93674e+03,  8.54543e+02, -1.19555e+00,
     2, -3.33684e+01, -4.89930e+01,  8.19021e+02,  5.93674e+03, -8.54543e+02,  1.19555e+00,
     3,  2.57194e-14, -1.02014e+02,  2.64998e+03,  7.51468e+03,  1.51765e-12, -2.28416e-13,
     4,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     5,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     6,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     7,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     8,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     9,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    10,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    11,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    12,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    13,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    14,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    15,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
"R M S    R E L A T I V E    E Q U I L I B R I U M    E R R O R:", 7.243e-08
