" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example E: a three-dimensional structure showing lateral-torsional dynamic modes (units: kip  in)               "
" Sun Nov  1 22:45:12 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 31 , 63  , 79  
 Last Row , 1 , 28 , 60 , 74 , 108 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
     1, "min",     76.279,      -0.220,    109.896,  -1543.376,  -2936.505,   -221.842
     2, "max",     18.857,      45.645,     53.509,  -1823.106,  -1287.934,   1614.531
     2, "min",     18.857,      45.645,     53.509,  -1823.106,  -5140.722,  -1476.399
     3, "max",    -87.032,     -80.887,    318.958,   1672.819,  22202.931,    998.372
     3, "min",    -87.032,     -80.887,    318.958,   1672.819,  10754.089,  -1462.603
     4, "max",    -32.356,     -73.281,    212.542,   1581.024,   9129.144,   1471.748
     4, "min",    -32.356,     -73.281,    212.542,   1581.024,   1489.277,   -998.723
     5, "max",    -73.281,      32.356,    212.542,  -1489.286,   1581.020,   1471.748
     5, "min",    -73.281,      32.356,    212.542,  -1489.286, -13776.636,  -1617.639
     6, "max",     -7.879,     -12.427,     -0.441,  -1594.128,  -1566.963,    229.161
     6, "min",     -7.879,     -12.427,     -0.441,  -1594.128,  -1593.285,   -583.927
     7, "max",    -12.427,       7.879,     -0.441,   1566.965,  -1573.999,    229.161
     7, "min",    -12.427,       7.879,     -0.441,   1566.965,  -1594.127,   -118.859
     8, "max",    -21.402,       6.702,   -105.014,   1434.387,    676.116,    116.519
     8, "min",    -21.402,       6.702,   -105.014,   1434.387,  -3111.820,   -235.635
     9, "max",    214.910,     -21.622,    -57.577,     13.793,   3541.067,    867.270
     9, "min",    214.910,     -21.622,    -69.577,     13.793,  -3305.990,  -1420.977
    10, "max",   -234.550,     367.323,    -44.030,     13.796,   3467.915,  24580.675
    10, "min",   -234.550,     367.323,    -62.030,     13.796,  -3127.404, -24026.040
    11, "max",   -480.360,     154.299,    155.607,     13.795,  10767.974,  11416.361
    11, "min",   -480.360,     154.299,    131.607,     13.795, -10710.891, -11392.534
    12, "max",    -45.865,     -57.422,    -56.387,   1648.577,    279.723,   1030.111
    12, "min",    -45.865,     -57.422,    -56.387,   1648.577,  -1750.143,   -799.427
    13, "max",     -7.606,      54.676,   -106.417,  -1624.946,     91.787,   2018.447
    13, "min",     -7.606,      54.676,   -106.417,  -1624.946,  -7573.207,  -1997.094
    14, "max",   -109.516,     -66.204,    267.377,   1472.473,  -1663.019,   1019.917
    14, "min",   -109.516,     -66.204,    267.377,   1472.473, -11287.684,   -795.990
    15, "max",      1.177,      -8.975,   -104.573,  -1537.820,    132.579,    235.377
    15, "min",      1.177,      -8.975,   -104.573,  -1537.820,  -7397.096,   -423.029

"P E A K   F R A M E   E L E M E N T   I N T E R N A L   F O R C E S    (local)",
 "Elmnt",  ".", "Nx", "Vy", "Vz",  "Txx", "Myy", "Mzz", 
     1, "max",     76.279,      -0.220,    109.896,  -1543.376,   4975.452,    584.420
     1, "min",     76.279,      -0.220,    109.896,  -1543.376,  -2936.505,   -221.842
     2, "max",     18.857,      45.645,     53.509,  -1823.106,  -1287.934,   1614.531
     2, "min",     18.857,      45.645,     53.509,  -1823.106,  -5140.722,  -1476.399
     3, "max",    -87.032,     -80.887,    318.958,   1672.819,  22202.931,    998.372
     3, "min",    -87.032,     -80.887,    318.958,   1672.819,  10754.089,  -1462.603
     4, "max",    -32.356,     -73.281,    212.542,   1581.024,   9129.144,   1471.748
     4, "min",    -32.356,     -73.281,    212.542,   1581.024,   1489.277,   -998.723
     5, "max",    -73.281,      32.356,    212.542,  -1489.286,   1581.020,   1471.748
     5, "min",    -73.281,      32.356,    212.542,  -1489.286, -13776.636,  -1617.639
     6, "max",     -7.879,     -12.427,     -0.441,  -1594.128,  -1566.963,    229.161
     6, "min",     -7.879,     -12.427,     -0.441,  -1594.128,  -1593.285,   -583.927
     7, "max",    -12.427,       7.879,     -0.441,   1566.965,  -1573.999,    229.161
     7, "min",    -12.427,       7.879,     -0.441,   1566.965,  -1594.127,   -118.859
     8, "max",    -21.402,       6.702,   -105.014,   1434.387,    676.116,    116.519
     8, "min",    -21.402,       6.702,   -105.014,   1434.387,  -3111.820,   -235.635
     9, "max",    214.910,     -21.622,    -57.577,     13.793,   3541.067,    867.270
     9, "min",    214.910,     -21.622,    -69.577,     13.793,  -3305.990,  -1420.977
